Altium Designer Pick and Place Locations
F:\Fiver\marcellsimon\ESP32 with cam_OV5640_v2\Project Outputs for ESP32 with cam_OV5640_v2\Pick Place for ESP32 wth OV5640 CAM.csv

========================================================================================================================
File Design Information:

Date:       19/09/24
Time:       10:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R2","4.7K","TopLayer","4k7_SMD_201","1111.000","856.980","270","50mW Thick Film Resistors 25V ±1% ±200ppm/? 4.7kO 0201 Chip Resistor - Surface Mount ROHS"
"U7","HB-PH3-25413PB2GOP","TopLayer","3P_MH_2.54mm","1611.000","1031.000","0",""
"U6","HB-PH3-25413PB2GOP","TopLayer","3P_MH_2.54mm","1611.000","215.000","0",""
"P2","Header-Female-2.54_1x3","TopLayer","3P_FH_2.54mm","1093.000","629.000","90",""
"P1","Header-Female-2.54_1x3","TopLayer","3P_FH_2.54mm","278.000","629.000","90",""
"CN2","HDGC1501WV-2P","TopLayer","2P_white_Connector_1.5mm","274.000","1817.997","270",""
"U5","FPC-05FB-24PH20","TopLayer","Camera_Connector","687.620","514.975","180","Dual-sided contacts / top and bottom connection -25?~+85? Flip type 0.5mm Horizontal attachment 24P SMD"
"U4","TLV74315PDBVR","BottomLayer","1V5_Converter_(TLV74215)","681.000","888.000","0","300mA Fixed 1.5V Positive electrode 5.5V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
"U3","TLV74328PDBVR","BottomLayer","2V8_Converter_(TLV74328)","546.000","887.000","0","300mA 68dB Fixed 2.8V Positive electrode 5.5V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
"U2","AP63203WU-7","BottomLayer","3V3_Converter_(AP63203)","1192.000","1167.000","90","Step-down type Fixed 2A 3.3V 3.8V~32V TSOT-23-6 DC-DC Converters ROHS"
"U1","ESP32-S3-MINI-1-N4R2","BottomLayer","ESP32-S3-MINI-1-N8","692.390","1417.535","180",""
"TP5","TEST POINT","TopLayer","TESTPOINT","312.000","416.000","0",""
"TP4","TEST POINT","TopLayer","TESTPOINT","1258.000","1282.809","180",""
"TP3","TEST POINT","TopLayer","TESTPOINT","1258.000","1482.809","180",""
"TP2","TEST POINT","TopLayer","TESTPOINT","1258.000","1382.809","180",""
"TP1","TEST POINT","TopLayer","TESTPOINT","1258.000","1582.809","180",""
"SW1","TS-1102-5516","BottomLayer","Push_Button_4P","234.000","1562.000","90","6mm 5.5mm Round Button 25mA Direct Insert 6mm SPST 100000 Times 1.6N 24V Plugin Tactile Switches ROHS"
"R11","100R","BottomLayer","100R_402","725.000","1016.040","270","100mW Thick Film Resistors ±100ppm/? ±1% 100O 0402 Chip Resistor - Surface Mount ROHS"
